,iso_code,location,date,total_cases,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,gdp_per_capita
56,DZA,Algeria,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,44616626.0,13913.838999999994
57,ECU,Ecuador,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,17888474.0,10581.935999999992
58,EGY,Egypt,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,104258327.0,10550.206000000004
59,ERI,Eritrea,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3601462.0,1510.4590000000003
60,ESH,Western Sahara,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,611872.0,0.0
61,ESP,Spain,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,46745211.0,34272.35999999999
62,EST,Estonia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1325188.0,29481.251999999986
63,ETH,Ethiopia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,117876226.0,1729.9270000000013
64,FIN,Finland,2020-01,0.0967741935483871,0.0,0.0,0.01741935483870968,0.0,0.0,5548361.0,40585.72099999999
65,FJI,Fiji,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,902899.0,8702.975000000002
66,FLK,Falkland Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3528.0,0.0
67,FRA,France,2020-01,0.967741935483871,0.0,0.0,0.014290322580645163,0.0005483870967741936,0.0,67422000.0,38605.670999999995
68,FRO,Faeroe Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,49053.0,0.0
69,FSM,Micronesia (country),2020-01,0.0,0.0,0.0,0.0,0.0,0.0,116255.0,3299.464000000003
70,GAB,Gabon,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2278829.0,16562.413
71,GBR,United Kingdom,2020-01,0.06451612903225806,0.0,0.0,0.0009354838709677419,0.0,0.0,68207114.0,39753.24399999997
72,GEO,Georgia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3979773.0,9745.079000000003
73,GGY,Guernsey,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,63385.0,0.0
74,GHA,Ghana,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,31732128.0,4227.630000000002
75,GIB,Gibraltar,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,33691.0,0.0
76,GIN,Guinea,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,13497237.0,1998.9259999999997
77,GMB,Gambia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2486937.0,1561.767
78,GNB,Guinea-Bissau,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2015490.0,1548.6750000000006
79,GNQ,Equatorial Guinea,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1449891.0,22604.87300000001
80,GRC,Greece,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10370747.0,24574.38199999999
81,GRD,Grenada,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,113015.0,13593.876999999995
82,GRL,Greenland,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,56868.0,0.0
83,GTM,Guatemala,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,18249868.0,7423.807999999997
84,GUY,Guyana,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,790329.0,7435.046999999998
85,HKG,Hong Kong,2020-01,2.096774193548387,0.0,0.0,0.27761290322580645,0.017064516129032255,0.0,7552800.0,56054.91999999998
86,HND,Honduras,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10062994.0,4541.795
87,HRV,Croatia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4081657.0,22669.79700000001
88,HTI,Haiti,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11541683.0,1653.1730000000005
89,HUN,Hungary,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9634162.0,26777.56099999999
90,IDN,Indonesia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,276361788.0,11188.744000000004
91,IMN,Isle of Man,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,85410.0,0.0
92,IND,India,2020-01,0.06451612903225806,0.0,0.0,6.451612903225807e-05,0.0,0.0,1393409033.0,6426.674
93,IRL,Ireland,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4982904.0,67335.29300000005
94,IRN,Iran,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,85028760.0,19082.62
95,IRQ,Iraq,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,41179351.0,15663.98599999999
96,ISL,Iceland,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,368792.0,46482.95800000002
97,ISR,Israel,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9291000.0,33132.31999999998
98,ITA,Italy,2020-01,0.06451612903225806,0.0,0.0,0.0010645161290322581,0.0,0.0,60367471.0,35220.084000000024
99,JAM,Jamaica,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2973462.0,8193.570999999998
100,JEY,Jersey,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,101073.0,0.0
101,JOR,Jordan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10269022.0,8337.489999999996
102,JPN,Japan,2020-01,1.8064516129032258,0.0,0.0,0.014387096774193546,0.001,0.0,126050796.0,39002.223
103,KAZ,Kazakhstan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,18994958.0,24055.587999999992
104,KEN,Kenya,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,54985702.0,2993.028000000001
105,KGZ,Kyrgyzstan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6628347.0,3393.4740000000015
106,KHM,Cambodia,2020-01,0.16129032258064516,0.0,0.0,0.009516129032258066,0.0,0.0,16946446.0,3645.0700000000033
107,KIR,Kiribati,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,121388.0,1981.1319999999992
108,KNA,Saint Kitts and Nevis,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,53546.0,24654.385000000006
109,KOR,South Korea,2020-01,1.1612903225806452,0.0,0.0,0.022580645161290325,0.0013225806451612903,0.0,51305184.0,35938.37399999999
110,KWT,Kuwait,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4328553.0,65530.537000000004
111,LAO,Laos,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,7379358.0,6397.359999999995
112,LBN,Lebanon,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6769151.0,13367.565
113,LBR,Liberia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5180208.0,752.7880000000004
114,LBY,Libya,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6958538.0,17881.509000000002
115,LCA,Saint Lucia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,184401.0,12951.838999999994
